campaign_name,ad_group_name,spend_aed,last_click_date,first_spend_date,last_spend_date
Generic Services - UAE,Broad_Business Courier,48447.1,2025-02-27,2025-01-01,2025-04-05
Generic Services,Broad_Business Courier,23630.1,2025-02-27,2025-01-01,2025-04-05
Generic Services - UAE,Business,6424085.46,2025-02-27,2025-01-01,2025-04-05
Generic Services,Business,3133351.26,2025-02-27,2025-01-01,2025-04-05
Generic Services - UAE,Courier from Dubai to Abu Dhabi,8.554461272E7,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Courier Service,1.5167088957E8,2025-04-07,2025-01-01,2025-04-07
Generic Services,Phrase_Courier from Dubai to Abu Dhabi,125298.6,2025-04-07,2025-01-01,2025-04-07
Generic Services,Courier from Dubai to Abu Dhabi,4.172443249E7,2025-04-07,2025-01-01,2025-04-07
Generic Services,Phrase_Courier Service,222154.84,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Parcel delivery,5.7370850774E8,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Phrase_Courier Service,455468.14,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Parcel delivery,1.58310710324E9,2025-04-07,2025-01-01,2025-04-07
Generic Services,Parcel delivery,2.7982664409E8,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Exact_Sameday,513494.99,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Exact_Parcel delivery,4326610.16,2025-04-07,2025-01-01,2025-04-07
Generic Services,Exact_Parcel delivery,2110306.52,2025-04-07,2025-01-01,2025-04-07
Generic Services,Sameday,3.321066036E7,2025-04-07,2025-01-01,2025-04-07
Generic Services,Exact_Sameday,250457.47,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Sameday,6.808943608E7,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Lastmile,5826268.9,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Business,5.282357285E7,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Courier Service,3.9005044587E8,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Sameday,2.8109311941E8,2025-04-07,2025-01-01,2025-04-07
Generic Services,Courier Service,7.397756084E7,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Courier from Dubai to Abu Dhabi,2.7400473269E8,2025-04-07,2025-01-01,2025-04-07
Generic Services - UAE,Phrase_Courier from Dubai to Abu Dhabi,256890.73,2025-04-07,2025-01-01,2025-04-07
Generic Services - Dubai,Ecommerce,3.8201144895E8,2026-01-04,2025-01-01,2026-01-09
UAE_Competitors,Exact_Shipa,6.112815773E7,2026-01-24,2025-01-01,2026-01-27
Competitors - UAE,Exact_Shipa,1.633597319E7,2026-01-24,2025-01-01,2026-01-27
Competitors-PE,Shipa,9.600432003E7,2026-01-24,2025-01-01,2026-01-27
UAE_Competitors,Shipa,1.4369678869E8,2026-01-24,2025-01-01,2026-01-27
Competitors-PE,Exact_Shipa,4.083993296E7,2026-01-24,2025-01-01,2026-01-27
Competitors - UAE,Shipa,3.840172801E7,2026-01-24,2025-01-01,2026-01-27
Competitors-PE,iMile,1.0529698258E8,2026-01-26,2025-01-01,2026-01-27
Competitors - UAE,iMile,4.211879303E7,2026-01-26,2025-01-01,2026-01-27
Competitors - UAE,Exact_iMile,1.791720085E7,2026-01-26,2025-01-01,2026-01-27
UAE_Competitors,iMile,1.5760580619E8,2026-01-26,2025-01-01,2026-01-27
Competitors-PE,Exact_iMile,4.479300211E7,2026-01-26,2025-01-01,2026-01-27
UAE_Competitors,Exact_iMile,6.704500962E7,2026-01-26,2025-01-01,2026-01-27
UAE_Competitors,Jeebly,2.521801601E8,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,Exact_IQ Fulfillment,1.292011955E7,2026-01-27,2025-01-01,2026-01-27
UAE_Competitors,Exact_Jeebly,1.0727663953E8,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,Exact_Aramex,2.939737457E7,2026-01-27,2025-01-01,2026-01-27
UAE_Competitors,Aramex,2.5858932755E8,2026-01-27,2025-01-01,2026-01-27
Generic Services - Dubai,Delivery Service,9.45353265689E9,2026-01-27,2025-01-01,2026-01-27
Generic Services,Delivery Service,1.63091462341E9,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Exact_Jeebly,7.167189279E7,2026-01-27,2025-01-01,2026-01-27
Generic Services - UAE,Exact_Delivery Service,2.521679738E7,2026-01-27,2025-01-01,2026-01-27
Generic Services,Fulfillment,2.1967323407E8,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Exact_IQ Fulfillment,3.230029888E7,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,Jeebly,6.739297382E7,2026-01-27,2025-01-01,2026-01-27
Generic Services,Exact_Delivery Service,1.229950696E7,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Jeebly,1.6848243455E8,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,Aramex,6.910576857E7,2026-01-27,2025-01-01,2026-01-27
Generic Services - Dubai,Fulfillment,1.98547841822E9,2026-01-27,2025-01-01,2026-01-27
Generic Services,Phrase_fulfillment,1656660.89,2026-01-27,2025-01-01,2026-01-27
UAE_Competitors,Exact_IQ Fulfillment,4.834625381E7,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,IQ Fulfillment,7.592980708E7,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,Exact_Jeebly,2.866875712E7,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Exact_Aramex,7.349343641E7,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,IQ Fulfillment,3.037192283E7,2026-01-27,2025-01-01,2026-01-27
UAE_Competitors,Others,1.26772009432E9,2026-01-27,2025-01-01,2026-01-27
UAE_Competitors,IQ Fulfillment,1.1364977575E8,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Others,8.4696816646E8,2026-01-27,2025-01-01,2026-01-27
UAE_Competitors,Exact_Aramex,1.1000307902E8,2026-01-27,2025-01-01,2026-01-27
Generic Services - UAE,Delivery Service,3.34374733292E9,2026-01-27,2025-01-01,2026-01-27
Generic Services - UAE,Fulfillment,4.5038028354E8,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Aramex,1.7276442142E8,2026-01-27,2025-01-01,2026-01-27
Generic Services - UAE,Phrase_fulfillment,3396533.06,2026-01-27,2025-01-01,2026-01-27
Competitors - UAE,Others,3.3878726658E8,2026-01-27,2025-01-01,2026-01-27
Competitors-PE,Fenix,8975967.79,2026-01-08,2025-01-03,2026-01-15
Competitors - UAE,Phrase_Fenix,1173999.6,2026-01-08,2025-01-03,2026-01-15
Competitors-PE,Phrase_Fenix,2934998.99,2026-01-08,2025-01-03,2026-01-15
UAE_Competitors,Fenix,1.343499694E7,2026-01-08,2025-01-03,2026-01-15
Competitors - UAE,Fenix,3590387.11,2026-01-08,2025-01-03,2026-01-15
UAE_Competitors,Phrase_Fenix,4393030.75,2026-01-08,2025-01-03,2026-01-15
Generic Services,Ecommerce,1.1737439369E8,2026-01-25,2025-01-03,2026-01-27
Generic Services,Broad_Ecommerce Shipping,885176.42,2026-01-25,2025-01-03,2026-01-27
Generic Services - UAE,Broad_Ecommerce Shipping,1814813.76,2026-01-25,2025-01-03,2026-01-27
Generic Services - UAE,Ecommerce,2.4064430488E8,2026-01-25,2025-01-03,2026-01-27
Generic Services - UAE,Exact_lastmile,15266.0,2025-01-23,2025-01-06,2025-04-05
Generic Services,Exact_lastmile,7446.0,2025-01-23,2025-01-06,2025-04-05
Generic Services,Lastmile,987339.6,2025-01-23,2025-01-06,2025-04-05
Generic Services - UAE,Lastmile,2024271.6,2025-01-23,2025-01-06,2025-04-05
Generic Services - Dubai,International delivery,4.69846281078E9,2026-01-27,2025-02-12,2026-01-27
Events,Seamless,6250392.4,2025-05-02,2025-03-19,2025-05-03
UAE_Events,Seamless,7.57860079E7,2025-05-02,2025-03-19,2025-05-03
Events,Pet world arabia,170175.6,2025-04-19,2025-03-22,2025-04-22
UAE_Events,Pet world arabia,2063379.15,2025-04-19,2025-03-22,2025-04-22
UAE_Events,Internet commerce summit,0.0,,2025-03-26,2025-03-26
Events,Internet commerce summit,0.0,,2025-03-26,2025-03-26
KSA_Competitors,Competitors,1.3994770361E8,2025-05-28,2025-04-12,2025-05-28
UAE_to_KSA,UAE to KSA,2.9335752863E8,2025-06-06,2025-04-12,2025-06-06
KSA Services,All services - Arabic,7441246.32,2025-11-09,2025-04-12,2025-11-10
KSA_Services,All services - Arabic,2.7067533488E8,2025-11-09,2025-04-12,2025-11-10
KSA_Services,All services,4876262.09,2025-11-10,2025-04-12,2025-11-10
KSA Services,All services,134055.32,2025-11-10,2025-04-12,2025-11-10
KSA Services,All services - English,7882452.53,2025-11-10,2025-04-12,2025-11-10
KSA_Services,All services - English,2.8672421083E8,2025-11-10,2025-04-12,2025-11-10
Marketplace - Dubai,Marketplace,3.162318782E7,2026-01-22,2025-04-12,2026-01-22
