month,campaign,ad_group,spend_aed,gps_acquired,revenue_aed,margin_aed,roi_pct
2025-01,Competitors - UAE,Aramex,33.08,0,0,0,-100
2025-01,Competitors - UAE,Competitors - UAE,0,18,3564,891,
2025-01,Competitors - UAE,Fenix,18.43,0,0,0,-100
2025-01,Competitors - UAE,IQ Fulfillment,34.2,0,0,0,-100
2025-01,Competitors - UAE,Jeebly,67.46,0,0,0,-100
2025-01,Competitors - UAE,Others,425.91,0,0,0,-100
2025-01,Competitors - UAE,Shipa,47.14,0,0,0,-100
2025-01,Competitors - UAE,iMile,658.05,0,0,0,-100
2025-01,Generic Services - Dubai,Business,129.5,2,0,0,-100
2025-01,Generic Services - Dubai,Courier Service,423.51,2,0,0,-100
2025-01,Generic Services - Dubai,Courier from Dubai to Abu Dhabi,215.82,4,381,95,-56
2025-01,Generic Services - Dubai,Delivery Service,1132.21,14,140,35,-96.9
2025-01,Generic Services - Dubai,Ecommerce,5.11,0,0,0,-100
2025-01,Generic Services - Dubai,Fulfillment,441.61,6,0,0,-100
2025-01,Generic Services - Dubai,Lastmile,3.54,0,0,0,-100
2025-01,Generic Services - Dubai,Parcel delivery,2576.56,18,18429,4607,78.8
2025-01,Generic Services - Dubai,Sameday,466.84,12,77,19,-95.9
2025-01,Generic Services - UAE,Business,17.28,0,0,0,-100
2025-01,Generic Services - UAE,Courier Service,139.79,3,0,0,-100
2025-01,Generic Services - UAE,Courier from Dubai to Abu Dhabi,14.08,0,0,0,-100
2025-01,Generic Services - UAE,Delivery Service,221.94,3,0,0,-100
2025-01,Generic Services - UAE,Ecommerce,19.14,0,0,0,-100
2025-01,Generic Services - UAE,Fulfillment,33.93,1,0,0,-100
2025-01,Generic Services - UAE,Lastmile,6.8,0,0,0,-100
2025-01,Generic Services - UAE,Parcel delivery,489.48,5,0,0,-100
2025-01,Generic Services - UAE,Sameday,97.3,0,0,0,-100
2025-01,Performance Max - Dubai,Performance Max - Dubai,5294.53,102,4011,1003,-81.1
2025-01,Performance Max - UAE,Performance Max - UAE,1298.56,31,1037,259,-80.1
2025-02,Competitors - UAE,Aramex,102.93,0,0,0,-100
2025-02,Competitors - UAE,Competitors - UAE,0,43,269,67,
2025-02,Competitors - UAE,Fenix,30.14,0,0,0,-100
2025-02,Competitors - UAE,IQ Fulfillment,66.81,0,0,0,-100
