invoice_number,csv_amount,bq_amount,state,start_date,end_date,_merge,category,amount_diff
DRAFT-INV-110207,,0.0,paid,2025-08-07,2025-08-07,right_only,IN_BQ_NOT_IN_CSV,0.0
INV-108064,18.0,18.0,paid,2025-08-01,2025-08-08,both,MATCHED,0.0
INV-108065,2392.0,2392.08,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,-0.08
INV-108066,4667.0,4666.87,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,0.13
INV-108067,502.0,502.0,paid,2025-08-01,2025-08-08,both,MATCHED,0.0
INV-108068,18.0,18.0,paid,2025-08-01,2025-08-08,both,MATCHED,0.0
INV-108069,24.0,24.0,paid,2025-08-01,2025-08-08,both,MATCHED,0.0
INV-108070,223.0,223.02,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,-0.02
INV-108071,3210.0,3210.22,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,-0.22
INV-108072,585.0,584.38,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,0.62
INV-108073,1837.0,1837.42,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,-0.42
INV-108074,55.0,55.25,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,-0.25
INV-108075,479.0,479.43,paid,2025-08-01,2025-08-08,both,AMOUNT_MISMATCH,-0.43
INV-108076,6572.0,6572.0,paid,2025-08-01,2025-08-08,both,MATCHED,0.0
INV-108077,60.0,60.0,paid,2025-08-01,2025-08-08,both,MATCHED,0.0
INV-108078,16683.0,16681.86,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,1.14
INV-108079,2628.0,2628.0,paid,2025-08-01,2025-09-01,both,MATCHED,0.0
INV-108080,10688.0,10688.0,paid,2025-08-01,2025-09-01,both,MATCHED,0.0
INV-108081,7555.0,7553.83,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,1.17
INV-108082,355395.0,355394.61,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,0.39
INV-108083,12277.0,12274.64,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,2.36
INV-108084,12356.0,12355.63,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,0.37
INV-108085,21386.0,21385.8,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,0.2
INV-108086,9165.0,9165.45,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,-0.45
INV-108087,48499.0,48498.37,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,0.63
INV-108088,23566.0,23565.69,paid,2025-08-01,2025-09-01,both,AMOUNT_MISMATCH,0.31
INV-108093 Dr. Note,,70.13,paid,2025-08-12,2025-08-12,right_only,IN_BQ_NOT_IN_CSV,-70.13
INV-108198,18.0,18.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108199,1578.0,1577.73,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,0.27
INV-108200,20.0,20.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108201,407.0,407.34,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,-0.34
INV-108202,128.0,128.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108203,70.0,70.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108204,158.0,158.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108205,5602.0,5601.67,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,0.33
INV-108206,239.0,239.21,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,-0.21
INV-108207,2341.0,2340.8,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,0.2
INV-108208,413.0,413.22,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,-0.22
INV-108209,1547.0,1547.42,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,-0.42
INV-108210,131.0,131.19,paid,2025-08-08,2025-08-15,both,AMOUNT_MISMATCH,-0.19
INV-108211,433.0,433.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108212,20.0,20.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108214,30.0,30.0,paid,2025-08-08,2025-08-15,both,MATCHED,0.0
INV-108215,6238.0,6237.87,paid,2025-08-08,2025-09-01,both,AMOUNT_MISMATCH,0.13
INV-108216,,5329.76,overdue,2025-08-08,2025-12-01,right_only,IN_BQ_NOT_IN_CSV,-5329.76
INV-108217,1383.0,1383.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108218,204.0,204.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108219,411.0,411.18,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.18
INV-108220,318.0,317.63,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.37
INV-108221,17.0,17.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108222,18.0,18.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108223,793.0,793.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108224,94.0,94.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108225,525.0,525.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108226,80.0,80.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108227,4838.0,4838.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108228,675.0,675.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108229,185.0,184.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108230,3628.0,3628.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108231,100.0,100.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108232,1514.0,1514.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108233,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108234,14281.0,14280.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108235,725.0,725.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108236,228.0,228.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108237,960.0,960.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108238,418.0,418.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108239,225.0,225.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108240,30.0,30.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108241,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108242,360.0,360.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108243,720.0,720.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108244,60.0,60.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108245,925.0,925.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108246,162.0,162.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108247,16.0,15.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108248,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108249,60.0,60.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108250,129.0,129.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108251,504.0,504.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108252,25.0,25.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108253,3212.0,3212.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108254,75.0,75.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108255,166.0,166.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108256,25.0,25.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108257,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108258,111.0,111.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108259,300.0,300.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108260,32.0,32.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108261,2028.0,2028.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108262,296.0,296.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108263,1250.0,1250.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108264,139.0,139.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108265,168.0,168.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108266,125.0,125.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108267,568.0,568.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108268,65.0,65.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108269,44.0,44.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108270,17.0,17.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108271,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108272,800.0,800.17,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.17
INV-108273,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108274,69.0,69.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108275,209.0,209.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108276,17.0,17.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108277,152.0,152.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108278,426.0,426.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108279,528.0,528.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108280,525.0,525.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108281,113.0,113.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108282,288.0,288.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108283,626.0,626.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108284,343.0,343.35,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.35
INV-108285,55.0,55.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108286,116.0,116.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108287,30.0,30.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108288,52.0,52.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108289,441.0,441.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108290,23166.0,23166.46,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.46
INV-108291,45.0,45.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108292,15.0,15.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108293,315.0,315.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108294,81.0,81.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108295,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108296,417.0,417.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108297,34.0,34.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108298,51.0,51.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108299,1674.0,1674.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108300,25.0,25.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108301,100.0,100.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108302,15.0,15.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108303,1865.0,1865.48,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.48
INV-108304,782.0,782.36,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.36
INV-108305,1603.0,1603.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108306,120.0,120.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108307,994.0,993.7,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.3
INV-108308,2112.0,2112.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108309,175.0,175.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108310,82.0,82.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108311,914.0,913.6,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.4
INV-108312,410.0,410.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108313,34.0,34.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108314,144.0,144.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108315,402.0,402.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108316,8257.0,8256.65,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.35
INV-108317,370.0,369.55,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.45
INV-108318,105.0,105.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108319,77.0,77.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108320,160.0,160.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108321,30.0,30.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108322,186.0,185.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108323,180.0,180.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108324,3885.0,3885.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108325,561.0,561.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108326,52.0,52.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108327,21.0,21.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108328,172.0,172.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108329,2096.0,2096.38,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.38
INV-108330,41.0,41.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108331,171.0,171.19,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.19
INV-108332,140.0,140.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108333,108.0,107.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.75
INV-108334,36.0,36.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108335,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108336,1846.0,1845.72,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.28
INV-108337,148.0,147.88,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.12
INV-108338,733.0,733.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108339,3262.0,3261.67,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.33
INV-108340,490.0,489.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108341,159.0,159.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108342,292.0,292.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108343,985.0,985.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108344,144.0,143.71,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.29
INV-108345,211.0,211.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108346,100.0,100.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108347,127.0,127.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108348,122.0,121.73,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.27
INV-108349,254.0,254.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108350,318.0,318.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108351,28.0,28.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108352,712.0,711.65,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.35
INV-108353,15.0,15.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108354,512.0,512.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108355,99.0,99.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108356,743.0,743.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108357,240.0,240.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108358,2981.0,2981.23,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.23
INV-108359,45.0,45.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108360,143.0,142.85,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.15
INV-108361,709.0,709.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108362,119.0,118.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108363,267.0,267.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108364,20.0,20.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108365,363.0,363.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108366,228.0,228.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108367,661.0,661.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108368,1814.0,1814.08,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.08
INV-108369,627.0,627.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108370,760.0,760.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108371,1455.0,1454.63,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.37
INV-108372,891.0,891.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108373,96.0,96.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108374,1739.0,1738.75,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.25
INV-108375,16.0,16.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108376,68.0,68.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108377,8175.0,8175.06,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.06
