Raw Data Xero,,,,,,Month,Match to SF GP ,,,,,Grouping for Sales,,,Grouping for P&L,AM / BDM Target Dashboard,,,,,,,,
Type,Sub Type,Date,Description,Reference,Credit (AED),Month,SSUP ?,Unique GP SF ID,Unique GP SF Name,GP SF ID,GP SF Name,Type (cleaned),Sub Type (repeat),Client Group,P&L Group,AM (Cleaned),Team,LMD Top 32,Existing LMD ?,Existing FF ?,Existing CB?,Sales target client group,Term,
1.Last Mile,1a.Per order,07 Aug 2025,Picard Angst - 4hr Delivery - Same Emirate,INV-108077,60,8,Non SSUP,0010800003B1SrOAAV,Picard Angst MEA Limited Group,0010800003B1SrOAAV,Picard Angst MEA Limited Group,1.Last Mile,1a.Per order,1a.Clients from 2022,Last Mile per Order,No AM,AM Team,Not LMD Top 32,1,0,0,2.Existing Clients (Not SSUP),Term 2,#ERROR!
1.Last Mile,1a.Per order,07 Aug 2025,Rivoli - RZ Dubai Mall - 8220 DXB - Next Day Delivery - Same Emirate,INV-108069,12,8,Non SSUP,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,Not LMD Top 32,1,0,0,2.Existing Clients (Not SSUP),Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,Rivoli - RZ Dubai Mall - 8220 DXB - Next Day Delivery - Other Emirate,INV-108069,12,8,Non SSUP,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,Not LMD Top 32,1,0,0,2.Existing Clients (Not SSUP),Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,Rivoli - RZ Mall of Emirates - 8225 DXB - Same Day Delivery - Same Emirate,INV-108068,18,8,Non SSUP,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,Not LMD Top 32,1,0,0,2.Existing Clients (Not SSUP),Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,FOREVER LIVING PRODUCT (DUBAI) (L.L.C) - Next Day Delivery - Same Emirate,INV-108065,936,8,Non SSUP,0010800003D2mDDAAZ,Forever Living-GP,0010800003D2mDDAAZ,Forever Living-GP,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,LMD Top 32,1,0,0,1.LMD Top 32,Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,FOREVER LIVING PRODUCT (DUBAI) (L.L.C) - Next Day Delivery - Other Emirate,INV-108065,"1,170",8,Non SSUP,0010800003D2mDDAAZ,Forever Living-GP,0010800003D2mDDAAZ,Forever Living-GP,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,LMD Top 32,1,0,0,1.LMD Top 32,Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,FOREVER LIVING PRODUCT (DUBAI) (L.L.C) - Return Delivery - Same Emirate,INV-108065,13,8,Non SSUP,0010800003D2mDDAAZ,Forever Living-GP,0010800003D2mDDAAZ,Forever Living-GP,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,LMD Top 32,1,0,0,1.LMD Top 32,Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,FOREVER LIVING PRODUCT (DUBAI) (L.L.C) - Extra Weight Fees,INV-108065,184,8,Non SSUP,0010800003D2mDDAAZ,Forever Living-GP,0010800003D2mDDAAZ,Forever Living-GP,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,LMD Top 32,1,0,0,1.LMD Top 32,Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,FOREVER LIVING PRODUCT (DUBAI) (L.L.C) - Additional Items Fees,INV-108065,27,8,Non SSUP,0010800003D2mDDAAZ,Forever Living-GP,0010800003D2mDDAAZ,Forever Living-GP,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,LMD Top 32,1,0,0,1.LMD Top 32,Term 2,
1.Last Mile,1a.Per order,07 Aug 2025,Rivoli - RZ Festival Plaza - 8223 DXB - Same Day Delivery - Other Emirate,INV-108064,18,8,Non SSUP,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,0010800003InMcWAAV,MAGRABI OPTICAL COMPANY L.L.C - Group,1.Last Mile,1a.Per order,1b.Clients from 2023,Last Mile per Order,Lejla Nicevic,AM Team,Not LMD Top 32,1,0,0,2.Existing Clients (Not SSUP),Term 2,
