invoice_number,csv_amount_aed,month,description
CN-49358 Cr. Note,51.0,Apr,CICABEAUTY PORTAL - Fulfillment - Cash/Card on delivery fee (exports)
INV-0485,3750.0,Apr,So post - Bubble Pouch White-20x25+5CM
INV-098698-PerOrder,40.0,Apr,amongst few LLC - Delivery - Per order fees
INV-098698-RouteBased,184.0,Apr,amongst few LLC - Delivery Route Based Fees
INV-099475,124.0,Apr,International Returns - Delivery - Per order fees
INV-108509,35.0,Aug,Viviane Khoury Interiors - Next Day Delivery - Other Emirate
INV-110314,944.0,Aug,OFFSHORE BEACHWEAR - Storage per CBM / Month
INV-110665,408.0,Aug,Epic Edges Group - FZCO - Total Weight Charges - A
INV-110666,119.0,Aug,INDEX Trading Co LLC - Total Weight Charges - A
INV-110668,1850.0,Aug,Pure Born Baby Care Requisites Trading LLC - Total Weight Charges - A
INV-0473,2095.0,Feb,"So post - Storage (General Cargo, Rack Space, Air
Conditioned) for the Period (Feb 11th to March 10th)"
INV-093668-PerOrder,25.0,Feb,CITRON - Delivery - Per order fees
INV-093668-RouteBased,6720.0,Feb,CITRON - Delivery Route Based Fees
INV-094336-PerOrder,20.0,Feb,amongst few LLC - Delivery - Per order fees
INV-094336-RouteBased,540.0,Feb,amongst few LLC - Delivery Route Based Fees
INV-094827-PerOrder,50.0,Feb,CITRON - Delivery - Per order fees
INV-094827-RouteBased,5740.0,Feb,CITRON - Delivery Route Based Fees
INV-095007-PerOrder,20.0,Feb,amongst few LLC - Delivery - Per order fees
INV-095007-RouteBased,364.0,Feb,amongst few LLC - Delivery Route Based Fees
INV-095684,75.0,Feb,Akun Home - Dubai - Delivery - Per order fees
INV-095736,20.0,Feb,Earth Born - Delivery - Per order fees
INV-095763,20.0,Feb,litlhood L.L.C-FZ - Delivery - Per order fees
INV-0466,3708.0,Jan,"So post - Storage (General Cargo, Rack Space, Air
Conditioned) Period: 11/01/2025 -
10/02/2025 (30 days)"
INV-092329-PerOrder,40.0,Jan,amongst few LLC - Delivery - Per order fees
INV-092329-RouteBased,180.0,Jan,amongst few LLC - Delivery Route Based Fees
INV-093158-PerOrder,80.0,Jan,amongst few LLC - Delivery - Per order fees
INV-093158-RouteBased,180.0,Jan,amongst few LLC - Delivery Route Based Fees
ZTV6H2W5-2025-01,-6250.0,Jan,"Stripe - Stripe Processing Fees
781 card payments totaling 185,276.82إ.د"
INV-106909,40.0,Jul,International Returns - Extra Weight Fees
CN-51254 Cr. Note,10.0,Jun,La Purete - General - Cash/Card on delivery fee (exports)
INV-104263,86.0,Jun,International Returns - Extra Weight Fees
INV-0486,1047.0,Mar,"So post - Storage (General Cargo, Rack Space, Air
Conditioned) for the Period (Mar 11th to Apr 10th)"
INV-0487,28230.0,Mar,SHIPSY DMCC - To be compensated from Shipsy for wrong DDP/DDU classification.
INV-096095-PerOrder,80.0,Mar,amongst few LLC - Delivery - Per order fees
INV-096095-RouteBased,540.0,Mar,amongst few LLC - Delivery Route Based Fees
INV-097122-PerOrder,25.0,Mar,CITRON - Delivery - Per order fees
INV-097122-RouteBased,3640.0,Mar,CITRON - Delivery Route Based Fees
INV-101895,124.0,May,International Returns - Extra Weight Fees
